dC1        dC2        P1         P2         P3         C1         C2         D          N          Stabile    Residuo          Eigenvalues 7D (Re + Im j)                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.6337     0.6121     0.2764     0.2208     0.3322     0.0871     0.0871     5.4238     0.0726     SI         0.0000000000     -1.234657+0.000000j | -0.030577+0.218176j | -0.030577-0.218176j | -0.006135+0.113253j | -0.006135-0.113253j | -0.000000+0.000000j | +0.000000+0.000000j
1.2214     0.6384     1.7176     0.3744     0.4327     0.0417     0.0417     3.8794     0.0124     SI         0.0000000132     -6.146546+0.000000j | -0.008580+0.093700j | -0.008580-0.093700j | -0.004004+0.033972j | -0.004004-0.033972j | +0.000000+0.000000j | +0.000000+0.000000j
1.1006     0.7344     2.6948     1.3282     0.8149     0.0177     0.0177     1.6238     0.0028     SI         0.0000000030     -11.483505+0.000000j | -0.004335+0.043922j | -0.004335-0.043922j | -0.006136+0.015913j | -0.006136-0.015913j | -0.000000+0.000000j | -0.000000+0.000000j
0.8046     0.4387     0.2543     0.0338     0.1300     0.0927     0.0927     5.7603     0.1363     SI         0.0000000827     -0.478336+0.000000j | -0.046924+0.411238j | -0.046924-0.411238j | -0.002722+0.110948j | -0.002722-0.110948j | +0.000000+0.000000j | -0.000000+0.000000j
1.0379     0.6829     1.3248     0.5614     0.5298     0.0462     0.0462     3.9772     0.0143     SI         0.0000000000     -5.432134+0.000000j | -0.008101+0.103235j | -0.008101-0.103235j | -0.005174+0.041514j | -0.005174-0.041514j | -0.000000+0.000000j | -0.000000+0.000000j
1.0470     0.6714     1.2570     0.4908     0.4954     0.0482     0.0482     4.1443     0.0160     SI         0.0000000004     -5.041967+0.000000j | -0.008803+0.109634j | -0.008803-0.109634j | -0.004978+0.043853j | -0.004978-0.043853j | -0.000000+0.000000j | -0.000000+0.000000j
0.6800     0.5261     0.2453     0.1042     0.2283     0.0933     0.0933     5.6293     0.1062     SI         0.0000000001     -0.726087+0.000000j | -0.049035+0.302852j | -0.049035-0.302852j | -0.004732+0.124925j | -0.004732-0.124925j | -0.000000+0.000000j | +0.000000+0.000000j
0.9950     0.4976     0.4468     0.0529     0.1626     0.0752     0.0752     5.6124     0.0750     SI         0.0000001242     -1.200008+0.000000j | -0.038257+0.269581j | -0.038257-0.269581j | -0.002626+0.081437j | -0.002626-0.081437j | +0.000000+0.000000j | -0.000000+0.000000j
0.9060     0.5115     0.3953     0.0732     0.1914     0.0790     0.0790     5.6027     0.0794     SI         0.0000000121     -1.111180+0.000000j | -0.039743+0.273842j | -0.039743-0.273842j | -0.003392+0.092737j | -0.003392-0.092737j | +0.000000+0.000000j | +0.000000+0.000000j
0.7228     0.7103     0.5416     0.5276     0.5136     0.0663     0.0663     4.7538     0.0307     SI         0.0000000000     -2.936185+0.000000j | -0.011642+0.139316j | -0.011642-0.139316j | -0.006774+0.072215j | -0.006774-0.072215j | +0.000000+0.000000j | +0.000000+0.000000j
0.8630     0.6564     0.6562     0.3533     0.4203     0.0646     0.0646     4.9082     0.0328     SI         0.0000000000     -2.822701+0.000000j | -0.014138+0.155704j | -0.014138-0.155704j | -0.005552+0.069885j | -0.005552-0.069885j | -0.000000+0.000000j | -0.000000+0.000000j
0.8158     0.6304     0.5081     0.2681     0.3661     0.0715     0.0715     5.1702     0.0445     SI         0.0000000000     -2.117714+0.000000j | -0.019108+0.182034j | -0.019108-0.182034j | -0.005537+0.082815j | -0.005537-0.082815j | +0.000000+0.000000j | -0.000000+0.000000j
